"Remittances, inflows (% of GDP)"
"95"," Tunisia","4.48","","3.77","","3.71","","4.32","","4.68","","4.38","","5.03","","4.95","","4.93","","4.57","","4.33","","4.73",""
"64"," Turkey","2.15","","1.96","","1.67","","0.27","","0.24","","0.23","","0.21","","0.20","","0.19","","0.16","","0.14","","0.12",""
"108"," Turkmenistan","","","","","","","","","0.16","","0.12","","0.11","","0.10","","0.07","","0.04","","0.03","","0.02",""
"n.a"," Tuvalu","","","","","","","22.58","","12.32","","11.84","","10.18","","10.82","","10.88","","11.41","","11.09","","10.83",""
"162"," Uganda","","","","","3.85","","3.57","","3.82","","4.05","","3.95","","3.82","","3.25","","3.33","","4.76","","4.79",""
"88"," Ukraine","","","","","1.34","","2.79","","4.80","","4.79","","4.81","","5.27","","5.51","","9.31","","10.15","","10.85",""
"14"," United Kingdom","0.19","","0.10","","0.31","","0.24","","0.20","","0.20","","0.19","","0.17","","0.16","","0.17","","0.17","","0.17",""
"13"," United States","0.02","","0.03","","0.04","","0.04","","0.04","","0.04","","0.04","","0.04","","0.04","","0.04","","0.04","","0.03",""
"55"," Uruguay","","","","","","","0.44","","0.31","","0.27","","0.18","","0.16","","0.16","","0.16","","0.16","","0.18",""
"105"," Uzbekistan","","","","","","","","","7.27","","9.31","","10.99","","11.60","","9.24","","4.58","","3.70","","",""
"138"," Vanuatu","5.18","","2.62","","4.96","","1.29","","1.68","","2.75","","2.82","","2.96","","3.45","","3.26","","2.39","","2.25",""
"78"," Venezuela (Bolivarian Republic of)","0.00","","0.00","","0.01","","0.10","","0.04","","0.04","","0.03","","0.03","","0.03","","","","","","",""
"116"," Viet Nam","","","","","4.30","","5.47","","7.13","","6.34","","6.42","","6.42","","6.45","","6.83","","5.79","","6.16",""
"178"," Yemen","26.53","","25.37","","13.37","","7.66","","4.94","","4.29","","9.47","","8.27","","7.75","","9.68","","18.40","","",""
"144"," Zambia","","","","","","","0.64","","0.21","","0.20","","0.29","","0.19","","0.21","","0.22","","0.18","","0.36",""
"156"," Zimbabwe","0.01","","","","","","","","13.94","","15.87","","14.84","","12.23","","11.98","","12.55","","11.17","","",""
""
