Country,Human Development Index (HDI),[Education] Education Index,[Education] Expected years of schooling (years),[Education] Mean years of schooling (years),[Gender] Female share of employment in senior and middle management (%),"[Gender] Share of employment in nonagriculture, female (% of total employment in nonagriculture)",[Gender] Total unemployment rate (female to male ratio),[Gender] Youth unemployment rate (female to male ratio),[Health] Life expectancy Index,[Health] Life expectancy at birth (years),[Income_composition of resources] Gross national income (GNI) per capita (2011 PPP$),[Income_composition of resources] Income Index,"[Work, employment and vulnerability] Employment in agriculture (% of total employment)","[Work, employment and vulnerability] Employment in services (% of total employment)","[Work, employment and vulnerability] Employment to population ratio (% ages 15 and older)","[Work, employment and vulnerability] Unemployment, total (% of labour force)","[Work, employment and vulnerability] Unemployment, youth (% ages 15–24)","[Work, employment and vulnerability] Vulnerable employment (% of total employment)"
NER,0.214,0.084,2.1,0.7,,50.8,0.54,0.68,0.371,44.1,796.0,0.313,75.2,18.3,74.7,5.0,9.1,89.5
NGA,,,6.8,,,48.4,0.94,1.12,0.39799999999999996,45.9,2707.0,0.498,58.0,32.8,53.4,5.3,9.3,82.9
NIC,0.498,0.366,8.2,4.2,,39.2,1.63,1.12,0.691,64.9,2559.0,0.49,32.4,49.8,51.5,14.5,15.8,48.0
NLD,0.8340000000000001,0.7559999999999999,14.9,10.2,,38.6,1.77,1.09,0.878,77.1,32601.0,0.8740000000000001,4.4,70.7,52.8,7.3,11.1,8.2
NOR,0.856,0.782,14.3,11.6,,46.9,0.86,0.95,0.8759999999999999,76.9,42707.0,0.915,5.8,71.0,58.6,5.4,12.6,10.4
NPL,0.386,0.28300000000000003,7.7,2.1,,26.5,0.73,0.79,0.54,55.1,1209.0,0.377,82.3,14.9,81.7,4.4,7.2,74.9
NRU,,,,,,,,,,,19147.0,0.794,,,,,,
NZL,0.82,0.797,14.8,11.6,,45.4,0.86,0.91,0.857,75.7,20858.0,0.807,10.8,65.5,56.7,10.6,19.4,12.6
OMN,,,8.4,,,10.3,2.85,1.28,0.7340000000000001,67.7,35950.0,0.889,9.8,83.1,46.7,18.5,48.0,12.0
PAK,0.409,0.21,4.7,2.4,,7.5,3.95,1.28,0.621,60.3,3201.0,0.524,47.5,32.7,47.6,5.9,10.1,65.7
PAN,0.665,0.5429999999999999,10.7,7.4,,41.2,1.58,1.17,0.8190000000000001,73.2,7914.0,0.66,27.3,58.3,49.4,16.1,35.8,32.9
PER,0.617,0.556,11.9,6.7,,39.2,1.22,1.02,0.708,66.0,5169.0,0.596,37.7,48.4,55.1,6.0,12.3,54.7
PHL,0.5870000000000001,0.523,10.8,6.7,,47.5,1.26,1.22,0.6990000000000001,65.5,3888.0,0.5529999999999999,45.3,38.7,60.0,3.8,9.4,42.6
PLW,,,,10.4,,,,,0.659,62.8,14165.0,0.748,,,,,,
PNG,0.38799999999999996,0.214,4.8,2.4,,53.0,0.5,0.85,0.603,59.2,2006.0,0.45299999999999996,71.1,25.0,70.0,3.0,5.5,75.4
POL,0.711,0.6709999999999999,12.3,9.9,,44.8,1.2,1.06,0.784,70.9,9208.0,0.6829999999999999,23.5,39.1,53.7,13.0,25.3,24.6
PRK,,,,,,46.0,0.67,0.85,0.767,69.9,,,62.6,15.5,75.9,8.1,16.5,53.4
PRT,0.72,0.55,12.3,6.3,,40.7,2.15,1.39,0.841,74.7,21079.0,0.8079999999999999,17.4,52.6,58.9,3.9,8.6,25.2
PRY,0.585,0.442,8.9,5.8,,44.8,1.66,1.26,0.741,68.2,5729.0,0.612,30.6,50.9,65.4,5.1,10.7,51.1
PSE,,,,,,11.0,0.92,1.03,0.745,68.4,2636.0,0.494,13.5,57.2,29.8,24.1,36.3,48.7
QAT,0.7509999999999999,0.503,11.5,5.5,,13.0,7.24,2.13,0.848,75.1,71461.0,0.993,5.6,64.3,76.6,3.9,20.2,0.8
ROU,0.6859999999999999,0.609,11.0,9.1,,43.9,0.82,1.03,0.762,69.5,10057.0,0.696,36.2,28.7,63.2,8.1,24.7,26.8
RUS,0.7290000000000001,0.664,12.7,9.4,,50.3,0.87,0.86,0.732,67.6,19584.0,0.797,10.2,55.5,62.8,5.7,18.4,1.0
RWA,0.22699999999999998,0.222,5.8,1.8,,26.5,1.0,1.33,0.161,30.4,869.0,0.327,88.6,8.7,89.2,0.3,0.4,92.5
SAU,0.706,0.495,10.9,5.8,,10.2,2.91,1.1,0.76,69.4,48040.0,0.9329999999999999,7.9,67.2,49.1,7.9,29.6,6.3
SDN,0.336,0.16699999999999998,4.1,1.6,,27.6,1.87,1.13,0.5489999999999999,55.7,1567.0,0.41600000000000004,61.8,20.1,43.1,14.1,28.6,52.4
SEN,0.3670000000000001,0.198,4.5,2.2,,29.4,1.58,1.23,0.5760000000000001,57.4,1767.0,0.434,46.6,38.2,50.6,5.7,8.7,51.2
SGP,0.7290000000000001,0.503,10.8,6.1,,38.0,1.0,1.09,0.868,76.4,35069.0,0.885,0.3,64.6,62.2,2.2,3.8,8.3
SLB,,,6.1,,,38.2,1.14,1.07,0.5720000000000001,57.2,1617.0,0.42,72.3,19.8,69.6,2.3,4.6,63.0
SLE,0.267,0.184,4.6,1.7,,51.3,0.48,0.69,0.258,36.7,1434.0,0.402,63.4,30.7,62.6,3.4,5.0,90.1
