Country1_Country2,Human Development Index (HDI),[Education] Education Index,[Education] Expected years of schooling (years),[Education] Mean years of schooling (years),[Health] Life expectancy Index,[Health] Life expectancy at birth (years),[Income_composition of resources] Gross national income (GNI) per capita (2011 PPP$),[Income_composition of resources] Income Index
ARE_MEX,0.5793006341536291,0.3568184402376563,0.17929107895874646,0.5042939713161885,0.020237672627780534,0.020755349546951685,3.022921517190609,1.2282043067481423
ARE_MHL,,,,,,,3.670663494024994,2.3314143698891723
ARE_MKD,0.6637819766343667,0.17574639593794983,0.05976369298624862,0.2836653588653562,0.18213905365003114,0.17642047114908643,3.311285412787398,1.5542762465927815
ARE_MLI,2.703402959383603,2.268726202108085,1.8227926360805902,2.426914736959157,2.2666193343114953,2.2623331006176923,3.8028930921552617,3.04877263754738
ARE_MLT,0.05430943445190217,0.2503054730025355,0.35858215791749354,0.12607349282904723,0.35753221642413524,0.3632186170716477,2.4053296115911387,0.7880071879578789
ARE_MMR,1.9853115482973334,1.6829048823149175,1.3446830921905992,1.7965472728139216,1.194022685039091,1.1934325989497,3.7317173882756958,2.5868373894341405
ARE_MNE,0.31378784349988276,0.43137751730224205,0.41834585090374216,0.4097388516944036,0.16190138102224982,0.15566512160213486,3.1028730453760516,1.3042877593785582
ARE_MNG,0.9353291488938806,0.0053256483617554196,0.17929107895874702,0.18911023924357068,0.9916459587612795,0.9962567782536621,3.4978928179663504,1.869479121775934
ARE_MOZ,2.7154717225951375,1.7361613659324782,1.1653920132318523,2.0486942584720156,2.3408241339466933,2.334976824032022,3.8549558044484087,3.6900474525751714
ARE_MRT,2.1844461412876433,1.965164245487989,1.8227926360805902,1.8911023924357069,1.5110795562076635,1.5047628421539696,3.7150271702706537,2.510753936803725
ARE_MUS,0.6275756869997642,0.23432852791726666,0.14940923246562215,0.5673307177307121,0.3170568711685726,0.3113302432042696,3.0875826521069167,1.2879841623863262
ARE_MWI,2.540474656027895,1.4911815412916987,0.986100934273106,1.7965472728139216,2.2666193343114953,2.2623331006176923,3.847633644291358,3.5650532089680596
ARE_MYS,0.4646473836440572,0.117164263958633,0.17929107895874646,0.06303674641452339,0.22261439890559276,0.21793117024298814,2.8194085363549366,1.054299272164335
ARE_NAM,1.5870423623167136,0.8787319796897509,0.5378732368762394,1.1031430622541625,2.111463844165173,2.1066679790155574,3.463704790762474,1.804264733807006
ARE_NER,3.2283941590853296,2.79063974156018,2.689366184381198,2.5845066029954658,2.145193298544808,2.1378010033359844,3.854686607383811,3.684612920244427
ARE_NGA,2.130136706835741,1.3367377388007728,1.1653920132318523,1.3868084211195182,2.7118481321226824,2.7085731158771456,3.664310443300494,2.3096762405661972
ARE_NIC,1.3517014796918014,0.9586167051160921,0.5677550833693638,1.1976981818759476,0.3103109802926456,0.3113302432042696,3.6784163694854004,2.364021563873637
ARE_NLD,0.4103379491921535,0.9586167051160928,1.0757464737524802,0.7564409569742829,0.4452287978111864,0.4462400152594529,1.407846808431746,0.36954819849059106
ARE_NOR,0.603438160576697,1.1663169912245797,1.2550375527112259,0.977069569425115,0.48570414306674947,0.48775071435335604,0.4436906018695179,0.10325611428413572
ARE_NPL,2.027552219537702,1.5497636732710156,0.8068098553143594,2.0486942584720156,0.930932940877935,0.9339907296128088,3.7979398661666686,3.005296378901428
ARE_NRU,,,1.1653920132318523,,,,3.4871249353824525,1.8477409924529573
