"Net migration rate (per 1,000 people)"
"HDI Rank (2017)","Country","1990","","1995","","2000","","2005","","2010","","2015",""
"122"," Kyrgyzstan","-6.1","","-12.4","","-1.1","","-6.9","","-2.9","","-4.9"," a"
"139"," Lao People's Democratic Republic","0.0","","-2.7","","-5.3","","-5.3","","-3.7","","-5.5"," a"
"41"," Latvia","3.2","","-9.0","","-3.8","","-6.3","","-7.9","","-8.1"," a"
"80"," Lebanon","-17.0","","6.3","","-1.9","","30.5","","8.8","","49.1"," a"
"159"," Lesotho","-8.2","","-5.5","","-8.2","","-4.2","","-4.0","","-2.4"," a"
"181"," Liberia","-37.3","","-28.8","","36.3","","-3.3","","9.7","","-0.9"," a"
"108"," Libya","0.3","","0.2","","-2.2","","-0.7","","-4.0","","-14.0"," a"
"35"," Lithuania","2.0","","-5.5","","-5.3","","-5.8","","-9.3","","-9.7"," a"
"21"," Luxembourg","6.9","","10.1","","9.4","","6.5","","17.5","","18.1"," a"
"161"," Madagascar","-0.2","","-0.2","","-0.1","","-0.1","","-0.1","","-0.1"," a"
"171"," Malawi","21.5","","-19.4","","-0.7","","-0.6","","-0.5","","-0.4"," a"
"57"," Malaysia","5.2"," g","3.1"," g","4.5"," g","5.3"," g","5.3"," g","5.3"," a,g"
"101"," Maldives","-2.5","","-2.6","","-0.8","","9.2","","10.5","","11.2"," a"
"182"," Mali","-11.8","","-3.8","","-2.8","","-1.1","","-1.4","","-3.7"," a"
"29"," Malta","0.7","","2.0","","3.3","","2.7","","3.2","","4.5"," a"
"159"," Mauritania","-3.2","","-2.8","","1.0","","0.5","","0.6","","2.1"," a"
"65"," Mauritius","-6.9"," h","-1.0"," h","-1.5"," h","-3.2"," h","-2.0"," h","-1.9"," a,h"
"74"," Mexico","-4.4","","-2.9","","-4.8","","-5.5","","-0.4","","-0.5"," a"
"131"," Micronesia (Federated States of)","-5.4","","-4.4","","-25.3","","-24.1","","-23.1","","-15.8"," a"
"112"," Moldova (Republic of)","-3.9"," i","-6.1"," i","-7.7"," i","-0.6"," i","-2.3"," i","-0.5"," a,i"
"92"," Mongolia","0.0","","-7.9","","-4.5","","-1.2","","-1.1","","-1.1"," a"
"50"," Montenegro","-9.8","","-6.6","","-7.0","","-2.6","","-0.2","","-1.0"," a"
"123"," Morocco","-3.5","","-3.6","","-4.0","","-4.4","","-3.6","","-1.8"," a"
"180"," Mozambique","-19.8","","9.0","","-0.6","","0.3","","-0.4","","-0.2"," a"
"148"," Myanmar","-1.0","","-3.3","","-2.4","","-5.3","","-5.9","","-1.9"," a"
"129"," Namibia","11.7","","3.1","","4.0","","-5.1","","-4.8","","-0.1"," a"
"149"," Nepal","-2.4","","0.8","","-4.1","","-6.5","","-7.8","","-2.7"," a"
"10"," Netherlands","1.9","","2.5","","2.3","","1.8","","0.8","","0.7"," a"
"16"," New Zealand","-0.6","","6.7","","2.3","","6.7","","2.9","","4.0"," a"
